precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.28,0.28,0.1999999999999999,0.28,0.42,0.42,0.3555555555555557,0.4199999999999999,0.27487261106908734,0.31184016168105244,0.27487261106908734,0.31184016168105244,0.1943029071037478,0.23537795914283446,0.27487261106908734,0.31184016168105244
0.3,0.3,0.2222222222222222,0.3,0.47,0.47,0.411111111111111,0.47,0.26907629611603046,0.2916161448404973,0.26907629611603046,0.2916161448404973,0.187862556466522,0.21290682860264654,0.26907629611603046,0.2916161448404973
0.3,0.3,0.2222222222222221,0.3,0.51,0.51,0.4555555555555556,0.51,0.21504754057643885,0.2916161448404973,0.21504754057643885,0.2916161448404973,0.12783060254235398,0.21290682860264654,0.21504754057643885,0.2916161448404973
0.26,0.26,0.1777777777777777,0.26,0.48,0.48,0.4222222222222221,0.48,0.2745384895575431,0.20188852026418863,0.2745384895575431,0.20188852026418863,0.19393166152547736,0.1132094670039118,0.2745384895575431,0.20188852026418863
0.2,0.2,0.1111111111111111,0.2,0.41,0.41,0.3444444444444443,0.41,0.2711482535061059,0.1987852675450578,0.2711482535061059,0.1987852675450578,0.19016473309960247,0.10976140973373794,0.2711482535061059,0.1987852675450578
0.15,0.15,0.0555555555555556,0.15,0.32,0.32,0.2444444444444444,0.32,0.18303367345449928,0.20817150080650731,0.18303367345449928,0.20817150080650731,0.09225963920073547,0.12019055817637485,0.18303367345449928,0.20817150080650731
0.13,0.13,0.0333333333333333,0.13,0.26,0.26,0.1777777777777779,0.26,0.2124343182832295,0.1974352049746229,0.2124343182832295,0.1974352049746229,0.12492702607900268,0.10826133970669304,0.2124343182832295,0.1974352049746229
0.14,0.14,0.0444444444444444,0.14,0.23,0.23,0.1444444444444442,0.23,0.19544419819643405,0.17402867957092316,0.19544419819643405,0.17402867957092316,0.10604911354704631,0.08225409060388582,0.19544419819643405,0.17402867957092316
0.16,0.16,0.0666666666666665,0.16,0.2,0.2,0.1111111111111112,0.2,0.17883362596472538,0.170518618937434,0.17883362596472538,0.170518618937434,0.08759292076041672,0.07835402263722016,0.17883362596472538,0.170518618937434
0.16,0.16,0.0666666666666665,0.16,0.2,0.2,0.1111111111111111,0.2,0.1528824952682052,0.1796576380664963,0.1528824952682052,0.1796576380664963,0.05875832950325481,0.0885084894871053,0.1528824952682052,0.1796576380664963
0.17,0.17,0.0777777777777777,0.17,0.21,0.21,0.1222222222222223,0.2099999999999999,0.18416990042505924,0.17322658954119488,0.18416990042505924,0.17322658954119488,0.09352211574738091,0.08136287940991249,0.18416990042505924,0.17322658954119488
0.19,0.19,0.0999999999999999,0.19,0.24,0.24,0.1555555555555556,0.24,0.14820556663200496,0.1666954062501676,0.14820556663200496,0.1666954062501676,0.05356174181631031,0.07410600837693246,0.14820556663200496,0.1666954062501676
0.19,0.19,0.0999999999999998,0.19,0.3,0.3,0.222222222222222,0.3,0.18266903837036322,0.16162893152564337,0.18266903837036322,0.16162893152564337,0.09185449082187128,0.06847659358587269,0.18266903837036322,0.16162893152564337
0.19,0.19,0.0999999999999999,0.19,0.36,0.36,0.2888888888888887,0.36,0.17824151039899572,0.1566725915390969,0.17824151039899572,0.1566725915390969,0.08693501463649249,0.06296954831583627,0.17824151039899572,0.1566725915390969
0.19,0.19,0.1,0.19,0.35,0.35,0.2777777777777775,0.35,0.15092083383466803,0.1654925078434657,0.15092083383466803,0.1654925078434657,0.05657870533931894,0.07276945556608114,0.15092083383466803,0.1654925078434657
0.19,0.19,0.0999999999999999,0.19,0.33,0.33,0.2555555555555553,0.33,0.17775468897583938,0.16720662840691836,0.17775468897583938,0.16720662840691836,0.08639410259187258,0.0746740340917241,0.17775468897583938,0.16720662840691836
