recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.618,0.618,0.2005290739531534,0.618,0.614,0.614,0.1977820544261233,0.614,0.6735194469192648,0.6358333617327484,0.6735194469192648,0.6358333617327484,0.1692994142993086,0.24602787416981556,0.6735194469192648,0.6358333617327484
0.617,0.617,0.201098020892434,0.617,0.622,0.622,0.2016962897884706,0.622,0.6754912217301394,0.6426141685634577,0.6754912217301394,0.6426141685634577,0.16622272489511178,0.22927265992447846,0.6754912217301394,0.6426141685634577
0.623,0.623,0.2190348347751152,0.623,0.627,0.627,0.2217038217889544,0.627,0.691367031591209,0.6458443463799103,0.691367031591209,0.6458443463799103,0.2279138787998316,0.22994162144602234,0.691367031591209,0.6458443463799103
0.629,0.629,0.2225742640649098,0.629,0.62,0.62,0.1992143871671998,0.62,0.6771918983931422,0.6684373619625911,0.6771918983931422,0.6684373619625911,0.23457632887403773,0.24296470977660414,0.6771918983931422,0.6684373619625911
0.633,0.633,0.2268866493646566,0.633,0.611,0.611,0.1861243618712862,0.611,0.676453946281211,0.6510001763041116,0.676453946281211,0.6510001763041116,0.21381233737450056,0.2596545299102476,0.676453946281211,0.6510001763041116
0.632,0.632,0.2252762058744274,0.632,0.618,0.618,0.2055701593850863,0.618,0.685092090334736,0.6420151960375765,0.685092090334736,0.6420151960375765,0.2798664444088555,0.26270811204726346,0.685092090334736,0.6420151960375765
0.633,0.633,0.2295419238359155,0.633,0.611,0.611,0.1937021714077255,0.611,0.6626035514108224,0.6351368570092235,0.6626035514108224,0.6351368570092235,0.21782145529744276,0.25175529515523865,0.6626035514108224,0.6351368570092235
0.63,0.63,0.23044925124792,0.63,0.618,0.618,0.2005290739531534,0.618,0.7364029471531914,0.6100816784488451,0.7364029471531914,0.6100816784488451,0.2753967913309499,0.246532478471777,0.7364029471531914,0.6100816784488451
0.623,0.623,0.2254209847220967,0.623,0.617,0.617,0.201098020892434,0.617,0.7024902782863294,0.6108524285819209,0.7024902782863294,0.6108524285819209,0.2590517106790635,0.24789841864467962,0.7024902782863294,0.6108524285819209
0.61,0.61,0.2072139465296298,0.61,0.623,0.623,0.2190348347751152,0.623,0.6862229577205697,0.6298371670229784,0.6862229577205697,0.6298371670229784,0.17197878943217887,0.2465906734856416,0.6862229577205697,0.6298371670229784
0.571,0.571,0.1247684410677416,0.571,0.629,0.629,0.2225742640649098,0.629,0.681775656406645,0.6323105578533483,0.681775656406645,0.6323105578533483,0.1722556046700175,0.2506744294673962,0.681775656406645,0.6323105578533483
0.564,0.564,0.105677715786019,0.564,0.633,0.633,0.2268866493646566,0.633,0.6908264233710699,0.6215747795671469,0.6908264233710699,0.6215747795671469,0.18204879446065975,0.2736637945982839,0.6908264233710699,0.6215747795671469
0.58,0.58,0.1350621107779497,0.58,0.632,0.632,0.2252762058744274,0.632,0.6780737591853072,0.5958943594778886,0.6780737591853072,0.5958943594778886,0.21424643244348657,0.2680939114812447,0.6780737591853072,0.5958943594778886
0.629,0.629,0.2349758326597271,0.629,0.633,0.633,0.2295419238359155,0.633,0.7305621805324362,0.6295921625195028,0.7305621805324362,0.6295921625195028,0.28017181684313136,0.2770368220211941,0.7305621805324362,0.6295921625195028
0.637,0.637,0.2330834692515063,0.637,0.63,0.63,0.23044925124792,0.63,0.7056643334248922,0.6358520161223392,0.7056643334248922,0.6358520161223392,0.18234036838860282,0.23571232384767282,0.7056643334248922,0.6358520161223392
0.611,0.611,0.1533760490301911,0.611,0.623,0.623,0.2254209847220967,0.623,0.6864376330686263,0.6076431164866322,0.6864376330686263,0.6076431164866322,0.176100412199187,0.2297938701034376,0.6864376330686263,0.6076431164866322
0.613,0.613,0.1100256643761901,0.613,0.61,0.61,0.2072139465296298,0.61,0.7278789430764289,0.6266611802272644,0.7278789430764289,0.6266611802272644,0.1716828822192243,0.23261982137051107,0.7278789430764289,0.6266611802272644
0.677,0.677,0.1398410703253157,0.677,0.571,0.571,0.1247684410677416,0.571,0.7171081750127686,0.7091112661895188,0.7171081750127686,0.7091112661895188,0.1897004599126354,0.2123665572068499,0.7171081750127686,0.7091112661895188
0.747,0.747,0.1317180314366119,0.747,0.564,0.564,0.105677715786019,0.564,0.7494031979256149,0.7368715703507739,0.7494031979256149,0.7368715703507739,0.22620518084041139,0.18304343683601512,0.7494031979256149,0.7368715703507739
0.82,0.82,0.1096161456272261,0.82,0.58,0.58,0.1350621107779497,0.58,0.7952247687080978,0.7805326603434098,0.7952247687080978,0.7805326603434098,0.1132829879570536,0.06647559565298247,0.7952247687080978,0.7805326603434098
0.845,0.845,0.0,0.845,0.629,0.629,0.2349758326597271,0.629,0.8123152988635597,0.8028131586464913,0.8123152988635597,0.8028131586464913,0.03138143116885929,0.03459138260085445,0.8123152988635597,0.8028131586464913
0.831,0.831,0.0,0.831,0.637,0.637,0.2330834692515063,0.637,0.805525736131079,0.7993175487434643,0.805525736131079,0.7993175487434643,0.021230273737828494,0.026334202893848444,0.805525736131079,0.7993175487434643
0.818,0.818,0.0049316027162086,0.818,0.611,0.611,0.1533760490301911,0.611,0.8077742283229392,0.7897308389396954,0.8077742283229392,0.7897308389396954,0.017023987126316035,0.027532268511778285,0.8077742283229392,0.7897308389396954
0.816,0.816,0.04906612091331,0.816,0.613,0.613,0.1100256643761901,0.613,0.7890904045337015,0.7723866802710356,0.7890904045337015,0.7723866802710356,0.03512562542523662,0.032046731822047154,0.7890904045337015,0.7723866802710356
